"GrLivArea","OverallQual","TotRmsAbvGrd","BedroomAbvGr","KitchenAbvGr","SalePrice"
"1710","7","8","3","1","208500"
"1262","6","6","3","1","181500"
"1786","7","6","3","1","223500"
"1717","7","7","3","1","140000"
"2198","8","9","4","1","250000"
"1362","5","5","1","1","143000"
"1694","8","7","3","1","307000"
"2090","7","7","3","1","200000"
"1774","7","8","2","2","129900"
"1077","5","5","2","2","118000"
"1040","5","5","3","1","129500"
"2324","9","11","4","1","345000"
"912","5","4","2","1","144000"
"1494","7","7","3","1","279500"
"1253","6","5","2","1","157000"
"854","7","5","2","1","132000"
"1004","6","5","2","1","149000"
"1296","4","6","2","2","90000"
"1114","5","6","3","1","159000"
"1339","5","6","3","1","139000"
"2376","8","9","4","1","325300"
"1108","7","6","3","1","139400"
"1795","8","7","3","1","230000"
"1060","5","6","3","1","129900"
"1060","5","6","3","1","154000"
"1600","8","7","3","1","256300"
"900","5","5","3","1","134800"
"1704","8","7","3","1","306000"
"1600","5","6","2","1","207500"
"520","4","4","1","1","68500"
"1317","4","6","3","1","40000"
"1228","5","6","3","1","149350"
"1234","8","7","3","1","179900"
"1700","5","6","4","1","165500"
"1561","9","6","2","1","277500"
"2452","8","9","4","1","309000"
"1097","5","6","3","1","145000"
"1297","5","5","3","1","153000"
"1057","5","5","3","1","109000"
"1152","4","6","2","2","82000"
"1324","6","6","3","1","160000"
"1328","5","5","2","1","170000"
"884","5","5","2","1","144000"
"938","5","5","3","1","130250"
"1150","5","6","3","1","141000"
"1752","9","6","2","1","319900"
"2149","7","6","1","1","239686"
"1656","8","7","3","1","249700"
"1452","4","8","2","3","113000"
"955","5","6","3","1","127000"
"1470","6","6","3","1","177000"
"1176","6","6","3","1","114500"
"816","5","5","2","1","110000"
"1842","9","5","0","1","385000"
"1360","5","6","3","1","130000"
"1425","6","7","3","1","180500"
"1739","8","7","3","1","172500"
"1720","7","7","3","1","196500"
"2945","10","10","3","1","438780"
"780","5","4","2","1","124900"
"1158","6","5","3","1","158000"
"1111","5","6","3","1","101000"
"1370","8","6","2","1","202500"
"1710","7","9","3","1","140000"
"2034","7","8","3","1","219500"
"2473","8","9","4","1","317000"
"2207","7","7","3","1","180000"
"1479","7","7","3","1","226000"
"747","4","4","2","1","80000"
"2287","7","7","3","1","225000"
"2223","7","8","3","1","244000"
"845","4","4","2","1","129500"
"1718","7","7","3","1","185000"
"1086","5","6","3","1","144900"
"1605","3","8","3","2","107400"
"988","4","5","2","1","91000"
"952","4","4","2","1","135750"
"1285","5","6","2","1","127000"
"1768","4","8","4","2","136500"
"1230","5","5","2","1","110000"
"2142","6","8","4","1","193500"
"1337","6","5","2","1","153500"
"1563","8","6","3","1","245000"
"1065","5","6","3","1","126500"
"1474","7","7","3","1","168500"
"2417","8","9","4","1","260000"
"1560","6","6","3","1","174000"
"1224","6","4","2","1","164500"
"1526","3","6","2","1","85000"
"990","4","5","3","1","123600"
"1040","4","4","2","1","109900"
"1235","5","6","2","1","98600"
"964","5","5","2","1","163500"
"2291","6","9","4","2","133900"
"1786","6","7","3","1","204750"
"1470","6","6","3","1","185000"
"1588","7","6","3","1","214000"
"960","4","6","3","1","94750"
"835","5","5","2","1","83000"
"1225","4","6","3","1","128950"
"1610","6","6","3","1","205000"
"1732","6","7","3","1","178000"
"1535","5","8","4","2","118964"
"1226","7","6","3","1","198900"
"1818","7","7","4","1","169500"
"1992","8","9","3","1","250000"
"1047","4","6","2","1","100000"
"789","5","5","2","1","115000"
"1517","5","7","3","1","115000"
"1844","6","7","3","1","190000"
"1855","6","7","4","1","136900"
"1430","7","7","3","1","180000"
"2696","7","10","4","1","383970"
"2259","6","7","3","1","217000"
"2320","6","9","3","1","259500"
"1458","6","5","2","1","176000"
"1092","5","6","3","1","139000"
"1125","5","5","2","1","155000"
"3222","7","11","5","1","320000"
"1456","6","8","3","1","163990"
"988","6","4","1","1","180000"
"1123","4","4","3","1","100000"
"1080","6","5","3","1","136000"
"1199","6","5","2","1","153900"
"1586","6","7","3","1","181000"
"754","6","5","2","1","84500"
"958","6","5","2","1","128000"
"840","5","5","3","1","87000"
"1348","6","6","3","1","155000"
"1053","5","6","3","1","150000"
"2157","7","8","4","1","226000"
"2054","6","7","3","1","244000"
"1327","5","7","3","1","150750"
"1296","8","6","2","1","220000"
"1721","5","7","3","1","180000"
"1682","7","7","3","1","174000"
"1214","5","5","3","1","143000"
"1959","7","9","5","2","171000"
"1852","8","7","3","1","230000"
"1764","6","7","3","1","231500"
"864","4","5","3","1","115000"
"1734","7","7","3","1","260000"
"1385","5","6","4","1","166000"
"1501","7","6","3","1","204000"
"1728","5","10","6","2","125000"
"1709","6","7","3","1","130000"
"875","5","5","2","1","105000"
"2035","7","8","3","1","222500"
"1080","7","6","3","1","141000"
"1344","5","7","3","1","115000"
"969","5","5","3","1","122000"
"1710","8","6","2","1","372402"
"1993","6","8","4","1","190000"
"1252","6","4","1","1","235000"
"1200","6","7","4","1","125000"
"1096","6","5","2","1","79000"
"1040","5","5","2","1","109500"
"1968","8","8","4","1","269500"
"1947","7","8","3","1","254900"
"2462","7","9","4","1","320000"
"1232","6","6","3","1","162500"
"2668","9","10","3","1","412500"
"1541","7","7","3","1","220000"
"882","4","4","1","1","103200"
"1616","6","5","3","1","152000"
"1355","5","6","4","2","127500"
"1867","5","7","2","1","190000"
"2161","8","8","3","1","325624"
"1720","7","7","3","1","183500"
"1707","8","6","2","1","228000"
"1382","5","7","2","1","128500"
"1656","6","7","3","1","215000"
"1767","7","5","2","1","239000"
"1362","6","6","3","1","163000"
"1651","6","7","3","1","184000"
"2158","6","7","4","1","243000"
"2060","6","8","4","1","211000"
"1920","5","8","4","1","172500"
"2234","9","9","1","1","501837"
"968","5","5","2","1","100000"
"1525","6","5","3","1","177000"
"1802","7","9","4","1","200100"
"1340","5","7","3","1","120000"
"2082","7","6","3","1","200000"
"1252","5","5","3","1","127000"
"3608","10","12","4","1","475000"
"1217","7","6","3","1","173000"
"1656","5","8","3","1","135000"
"1224","5","6","2","2","153337"
"1593","8","5","0","1","286000"
"2727","8","10","3","1","315000"
"1479","7","7","4","1","184000"
"1431","7","6","3","1","192000"
"1709","7","7","3","1","130000"
"864","5","5","3","1","127000"
"1456","6","7","3","1","148500"
"1726","7","8","3","1","311872"
"3112","8","8","4","1","235000"
"2229","6","8","5","1","104000"
"1713","8","7","3","1","274900"
"1121","4","5","2","1","140000"
"1279","6","6","3","1","171500"
"1310","6","6","2","1","112000"
"848","6","3","1","1","149000"
"1284","5","5","2","1","110000"
"1442","7","5","3","1","180500"
"1696","5","8","3","1","143900"
"1100","4","6","3","1","141000"
"2062","7","7","3","1","277000"
"1092","6","6","3","1","145000"
"864","5","5","2","1","98000"
"1212","6","6","3","1","186000"
"1852","7","7","3","1","252678"
"990","5","5","3","1","156000"
"1392","6","6","3","1","161750"
"1236","5","6","2","1","134450"
"1436","7","8","3","1","210000"
"1328","4","8","3","1","107000"
"1954","7","8","3","1","311500"
"1248","7","5","2","1","167240"
"1498","7","5","2","1","204900"
"2267","6","8","4","1","200000"
"1552","6","6","3","1","179900"
"864","4","4","2","1","97000"
"2392","10","8","3","1","386250"
"1302","5","6","3","1","112000"
"2520","7","9","4","1","290000"
"987","6","5","2","1","106000"
"912","5","5","3","1","125000"
"1555","7","7","2","1","192500"
"1194","6","6","3","1","148000"
"2794","8","9","4","1","403000"
"987","6","5","2","1","94500"
"894","5","5","3","1","128200"
"1960","6","8","4","1","216500"
"987","6","5","2","1","89500"
"1414","7","6","3","1","185500"
"1744","7","7","3","1","194500"
"1694","8","7","3","1","318000"
"1487","6","7","3","1","113000"
"1566","8","7","3","1","262500"
"866","5","4","2","1","110500"
"1440","5","6","3","1","79000"
"1217","6","6","3","1","120000"
"2110","7","8","3","1","205000"
"1872","7","6","3","1","241500"
"1928","6","9","4","2","137000"
"1375","6","5","2","1","140000"
"1668","7","8","3","1","180000"
"2144","6","7","4","1","277000"
"1306","3","6","3","1","76500"
"1625","8","5","2","1","235000"
"1640","6","6","3","1","173000"
"1302","6","7","3","1","158000"
"1314","5","5","3","1","145000"
"2291","7","8","4","1","230000"
"1728","6","7","3","1","207500"
"1604","7","8","3","1","220000"
"1792","7","7","3","1","231500"
"882","5","4","2","1","97000"
"1382","6","6","3","1","176000"
"2574","8","10","3","1","276000"
"1212","6","6","3","1","151000"
"1316","5","6","3","1","130000"
"764","5","4","2","1","73000"
"1422","6","7","3","1","175500"
"1511","6","8","3","1","185000"
"2192","5","8","4","1","179500"
"778","5","4","2","1","120500"
"1113","6","6","3","1","148000"
"1939","8","8","3","1","266000"
"1363","7","5","2","1","241500"
"2270","8","9","4","1","290000"
"1632","6","6","3","1","139000"
"816","5","5","2","1","124500"
"1548","7","5","3","1","205000"
"1560","7","7","3","1","201000"
"864","4","4","2","1","141000"
"2121","9","8","3","1","415298"
"2022","7","8","4","1","192000"
"1982","7","7","3","1","228500"
"1262","6","5","2","1","185000"
"1314","7","6","2","1","207500"
"1468","8","6","3","1","244600"
"1575","6","5","2","1","179200"
"1250","7","5","2","1","164700"
"1734","6","7","3","1","159000"
"858","4","5","3","1","88000"
"900","5","5","3","1","122000"
"1396","6","7","3","1","153575"
"1919","8","8","3","1","233230"
"1716","5","9","6","1","135900"
"1716","5","8","3","1","131000"
"2263","7","9","3","1","235000"
"1644","6","7","3","1","167000"
"1003","6","6","3","1","142500"
"1558","5","6","4","1","152000"
"1950","7","7","3","1","239000"
"1743","6","7","3","1","175000"
"1152","6","6","3","1","158500"
"1336","5","5","2","1","157000"
"2452","8","9","4","1","267000"
"1541","7","6","3","1","205000"
"894","5","5","3","1","149900"
"3493","7","10","3","1","295000"
"2000","8","8","3","1","305900"
"2243","7","8","4","1","225000"
"1406","6","6","3","1","89500"
"861","4","4","1","1","82500"
"1944","9","8","3","1","360000"
"1501","6","6","3","1","165600"
"972","6","5","2","1","132000"
"1118","5","5","3","1","119900"
"2036","7","8","3","1","375000"
"1641","7","6","3","1","178000"
"1432","7","6","3","1","188500"
"2353","7","10","4","1","260000"
"1959","8","8","3","1","270000"
"2646","7","9","4","1","260000"
"1472","7","6","3","1","187500"
"2596","9","9","4","1","342643"
"2468","8","10","4","1","354000"
"2730","7","8","4","1","301000"
"1163","3","6","3","1","126175"
"2978","7","11","5","1","242000"
"803","5","5","2","1","87000"
"1719","8","6","1","1","324000"
"1383","6","7","3","1","145250"
"2134","6","10","5","1","214500"
"1192","5","6","3","1","78000"
"1728","5","10","6","2","119000"
"1056","5","6","3","1","139000"
"1629","8","7","3","1","284000"
"1358","7","6","2","1","207000"
"1638","6","7","3","1","192000"
"1786","5","7","3","1","228950"
"1922","9","8","3","1","377426"
"1536","7","7","3","1","214000"
"1621","7","8","3","1","202500"
"1215","6","6","3","1","155000"
"1908","8","9","4","1","202900"
"841","4","4","2","1","82000"
"1040","3","6","2","2","87500"
"1684","9","6","2","1","266000"
"1112","5","4","3","1","85000"
"1577","6","6","3","1","140200"
"958","6","5","2","1","151500"
"1478","6","6","3","1","157500"
"1626","7","6","2","1","154000"
"2728","9","10","4","1","437154"
"1869","9","6","2","1","318061"
"1453","7","6","2","1","190000"
"1111","5","5","3","1","95000"
"720","6","5","2","1","105900"
"1595","6","6","2","1","140000"
"1200","6","6","3","1","177500"
"1167","6","6","3","1","173000"
"1142","5","6","3","1","134000"
"1352","5","6","3","1","130000"
"1924","8","7","3","1","280000"
"912","6","5","2","1","156000"
"1505","5","8","3","1","145000"
"1922","7","7","4","1","198500"
"987","6","5","2","1","118000"
"1574","6","6","3","1","190000"
"1344","5","6","3","1","147000"
"1394","6","6","3","1","159000"
"1431","6","6","3","1","165000"
"1268","5","7","2","1","132000"
"1287","5","7","3","1","162000"
"1664","6","7","3","1","172400"
"1588","4","7","4","1","134432"
"752","6","4","2","1","125000"
"1319","5","5","3","1","123000"
"1928","7","8","4","1","219500"
"904","1","4","1","1","61000"
"914","5","5","2","1","148000"
"2466","8","8","4","1","340000"
"1856","9","8","1","1","394432"
"1800","6","7","3","1","179000"
"1691","5","6","3","1","127000"
"1301","7","5","2","1","187750"
"1797","7","8","3","1","213500"
"784","6","5","2","1","76000"
"1953","6","9","3","1","240000"
"1269","8","6","2","1","192000"
"1184","5","8","5","1","81000"
"1125","6","6","3","1","125000"
"1479","7","6","3","1","191000"
"2332","10","9","3","1","426000"
"1367","5","7","4","1","119000"
"1961","6","7","3","1","215000"
"882","5","5","3","1","106500"
"788","4","4","2","1","100000"
"1034","5","5","2","1","109000"
"1144","5","6","3","1","129000"
"894","5","6","2","1","123000"
"1812","5","8","4","1","169500"
"1077","5","6","2","1","67000"
"1550","7","7","2","1","241000"
"1288","8","4","1","1","245500"
"1310","7","6","3","1","164990"
"672","5","4","2","1","108000"
"2263","8","10","4","1","258000"
"1572","6","7","3","1","168000"
"1620","4","8","3","1","150000"
"1639","6","6","3","1","115000"
"1680","6","8","4","1","177000"
"2172","7","9","3","1","280000"
"2078","8","8","3","1","339750"
"1276","5","5","3","1","60000"
"1056","5","5","3","1","145000"
"1478","7","7","2","1","222000"
"1028","5","5","2","1","115000"
"2097","7","9","3","1","228000"
"1340","7","6","3","1","181134"
"1400","6","6","3","1","149500"
"2624","6","10","4","1","239000"
"1134","5","7","3","1","126000"
"1056","5","6","3","1","142000"
"1344","7","8","2","2","206300"
"1602","6","8","3","1","215000"
"988","5","4","2","1","113000"
"2630","8","8","4","1","315000"
"1196","6","6","2","1","139000"
"1389","7","6","3","1","135000"
"1644","7","5","2","1","275000"
"907","4","5","3","1","109008"
"1208","7","6","2","1","195400"
"1412","6","6","3","1","175000"
"987","6","4","2","1","85400"
"1198","6","7","4","1","79900"
"1365","5","6","2","1","122500"
"1604","6","7","3","1","181000"
"630","4","3","1","1","81000"
"1661","7","6","3","1","212000"
"1118","6","6","2","1","116000"
"904","6","4","2","1","119000"
"694","5","4","2","1","90350"
"1196","6","7","3","1","110000"
"2402","10","10","2","1","555000"
"1440","4","8","4","2","118000"
"1573","5","8","3","1","162900"
"1258","7","6","2","1","172500"
"1908","7","8","4","1","210000"
"1689","6","7","3","1","127500"
"1888","6","6","2","1","190000"
"1886","7","10","4","1","199900"
"1376","6","7","3","1","119500"
"1183","3","6","2","1","120000"
"813","6","5","2","1","110000"
"1533","7","5","2","1","280000"
"1756","6","7","3","1","204000"
"1590","8","6","3","1","210000"
"1728","5","8","4","2","188000"
"1242","7","6","3","1","175500"
"1344","5","7","4","1","98000"
"1663","4","6","2","1","256000"
"1666","8","7","3","1","161000"
"1203","5","5","3","1","110000"
"1935","8","8","3","1","263435"
"1135","7","6","3","1","155000"
"864","5","5","3","1","62383"
"1660","6","6","3","1","188700"
"1040","5","5","3","1","124000"
"1414","7","6","2","1","178740"
"1277","7","5","2","1","167000"
"1644","5","7","3","1","146500"
"1634","8","7","3","1","250000"
"1710","6","7","3","1","187000"
"1502","8","4","1","1","212000"
"1969","7","8","3","1","190000"
"1072","6","5","2","1","148000"
"1976","8","7","2","1","440000"
"1652","8","6","2","1","251000"
"970","5","5","2","1","132500"
"1493","6","7","3","1","208900"
"2643","9","9","3","1","380000"
"1718","8","7","3","1","297000"
"1131","4","7","2","1","89471"
"1850","9","8","3","1","326000"
"1792","9","6","2","1","374000"
"1826","7","7","4","1","155000"
"1216","6","5","2","1","164000"
"999","5","6","3","1","132500"
"1113","5","5","3","1","147000"
"1073","5","6","3","1","156000"
"1484","5","7","3","1","175000"
"2414","5","10","3","2","160000"
"630","4","3","1","1","86000"
"1304","5","4","3","1","115000"
"1578","6","5","3","1","133000"
"1456","6","8","3","1","172785"
"1269","5","6","3","1","155000"
"886","5","4","2","1","91300"
"720","4","4","2","1","34900"
"3228","8","10","4","1","430000"
"1820","7","8","4","1","184000"
"899","5","5","3","1","130000"
"912","5","5","2","1","120000"
"1218","6","7","3","1","113000"
"1768","7","7","3","1","226700"
"1214","5","6","2","1","140000"
"1801","7","6","1","1","289000"
"1322","6","6","3","1","147000"
"1960","5","10","4","2","124500"
"1911","8","8","3","1","215000"
"1218","6","4","2","1","208300"
"1378","7","7","3","1","161000"
"1041","5","6","3","1","124500"
"1363","5","6","2","1","164900"
"1368","7","6","2","1","202665"
"864","5","5","3","1","129900"
"1080","6","5","3","1","134000"
"789","5","5","2","1","96500"
"2020","10","9","3","1","402861"
"2119","6","7","3","1","158000"
"2344","7","7","3","1","265000"
"1796","6","7","3","1","211000"
"2080","7","9","3","1","234000"
"1294","4","7","3","2","106250"
"1244","6","6","3","1","150000"
"1664","6","7","3","1","159000"
"4676","10","11","3","1","184750"
"2398","7","8","3","1","315750"
"1266","7","6","3","1","176000"
"928","5","4","2","1","132000"
"2713","9","11","3","1","446261"
"605","4","5","2","1","86000"
"2515","6","9","4","2","200624"
"1509","6","5","3","1","175000"
"1362","6","6","3","1","128000"
"827","5","5","2","1","107500"
"334","1","2","1","1","39300"
"1414","8","6","3","1","178000"
"1347","5","5","3","1","107500"
"1724","7","8","3","1","188000"
"864","4","5","3","1","111250"
"1159","5","7","3","1","158000"
"1601","8","6","3","1","272000"
"1838","9","8","2","1","315000"
"2285","8","8","4","1","248000"
"1680","7","7","3","1","213250"
"767","7","4","1","1","133000"
"1496","7","7","3","1","179665"
"2183","7","9","4","1","229000"
"1635","6","6","3","1","210000"
"768","5","5","2","1","129500"
"825","5","4","2","1","125000"
"2094","7","8","4","1","263000"
"1069","6","4","2","1","140000"
"928","5","5","3","1","112500"
"1717","8","7","3","1","255500"
"1126","4","5","2","1","108000"
"2046","7","8","3","1","284000"
"1048","5","5","2","1","113000"
"1092","5","6","2","1","141000"
"1336","4","7","3","1","108000"
"1446","7","6","3","1","175000"
"1557","7","7","2","1","234000"
"1392","5","5","3","1","121500"
"1389","5","6","2","1","170000"
"996","5","6","3","1","108000"
"1674","6","8","4","1","185000"
"2295","7","9","4","1","268000"
"1647","6","6","4","1","128000"
"2504","9","11","4","1","325000"
"1535","7","7","3","1","214000"
"2132","8","5","1","1","316600"
"943","5","4","2","1","135960"
"1728","5","10","6","2","142600"
"864","6","4","2","1","120000"
"1692","7","6","3","1","224500"
"1430","7","8","3","1","170000"
"1109","5","5","3","1","139000"
"1216","5","6","2","1","118500"
"1477","7","6","3","1","145000"
"1320","5","6","3","1","164500"
"1392","7","5","2","1","146000"
"1795","5","7","4","1","131500"
"1429","6","7","3","1","181900"
"2042","8","8","3","1","253293"
"816","6","5","3","1","118500"
"2775","10","9","3","1","325000"
"1573","4","6","3","1","133000"
"2028","8","7","2","1","369900"
"838","6","5","2","1","130000"
"860","5","4","2","1","137000"
"1473","5","5","1","1","143000"
"935","5","4","2","1","79500"
"1582","7","6","3","1","185900"
"2296","10","10","3","1","451950"
"816","5","4","2","1","138000"
"848","6","4","1","1","140000"
"924","5","5","3","1","110000"
"1826","8","7","3","1","319000"
"1368","6","7","3","1","114504"
"1402","7","7","2","1","194201"
"1647","5","7","3","1","217500"
"1556","6","6","3","1","151000"
"1904","8","8","3","1","275000"
"1375","6","6","3","1","141000"
"1915","8","8","3","1","220000"
"1200","7","4","2","1","151000"
"1494","7","6","3","1","221000"
"1986","7","7","3","1","205000"
"1040","5","6","3","1","152000"
"2008","5","8","3","1","225000"
"3194","8","10","4","1","359100"
"1029","4","5","3","1","118500"
"2153","9","8","3","1","313000"
"1032","6","6","3","1","148000"
"1872","8","7","3","1","261500"
"1120","5","6","3","1","147000"
"630","4","3","1","1","75500"
"1054","6","6","3","1","137500"
"1509","6","7","3","1","183200"
"832","6","4","2","1","105500"
"1828","9","9","3","1","314813"
"2262","8","10","4","1","305000"
"864","3","5","2","1","67000"
"2614","6","9","4","1","240000"
"980","5","6","3","1","135000"
"1512","6","4","2","1","168500"
"1790","6","8","4","1","165150"
"1116","6","5","3","1","160000"
"1422","5","6","3","1","139900"
"1520","6","7","3","1","153000"
"2080","5","9","5","1","135000"
"1350","6","6","3","1","168500"
"1750","5","8","3","1","124000"
"1554","8","6","2","1","209500"
"1411","7","6","3","1","82500"
"1056","5","6","3","1","139400"
"1056","6","4","0","2","144000"
"3395","6","14","8","2","200000"
"800","2","4","1","1","60000"
"1387","5","7","3","2","93000"
"796","5","4","2","1","85000"
"1567","8","7","1","1","264561"
"1518","8","6","1","1","274000"
"1929","7","7","3","1","226000"
"2704","8","9","4","1","345000"
"1620","5","7","4","1","152000"
"1766","9","7","2","1","370878"
"981","6","5","3","1","143250"
"1048","5","7","3","1","98300"
"1094","6","5","3","1","155000"
"1839","6","7","4","1","155000"
"630","4","3","1","1","84500"
"1665","7","7","3","1","205950"
"1510","4","7","4","1","108000"
"1716","7","7","2","1","191000"
"1469","6","7","3","1","135000"
"2113","8","7","2","1","350000"
"1092","6","6","3","1","88000"
"1053","5","5","3","1","145500"
"1502","7","6","3","1","149000"
"1458","6","6","3","1","97500"
"1486","5","7","3","1","167000"
"1935","7","7","3","1","197900"
"2448","8","8","4","1","402000"
"1392","6","5","2","1","110000"
"1181","4","6","3","1","137500"
"2097","8","8","1","1","423000"
"1936","8","7","3","1","230500"
"2380","6","7","3","1","129000"
"1679","6","7","3","1","193500"
"1437","5","6","3","1","168000"
"1180","4","5","2","1","137500"
"1476","6","7","3","1","173500"
"1369","6","6","3","1","103600"
"1208","6","6","3","1","165000"
"1839","6","7","3","1","257500"
"1136","6","5","3","1","140000"
"1441","6","7","3","1","148500"
"1774","4","8","4","2","87000"
"792","5","5","2","1","109500"
"2046","8","7","3","1","372500"
"988","5","5","3","1","128500"
"923","6","5","2","1","143000"
"1520","5","6","3","1","159434"
"1291","6","6","2","1","173000"
"1668","9","7","3","1","285000"
"1839","7","7","4","1","221000"
"2090","7","6","3","1","207500"
"1761","7","7","3","1","227875"
"1102","7","4","2","1","148800"
"1419","8","7","2","1","392000"
"1362","6","6","2","1","194700"
"848","6","3","1","1","141000"
"4316","10","10","4","1","755000"
"2519","7","9","4","1","335000"
"1073","5","4","2","1","108480"
"1539","5","5","3","1","141500"
"1137","6","5","2","1","176000"
"616","5","4","2","1","89000"
"1148","5","6","2","1","123500"
"894","5","5","3","1","138500"
"1391","7","5","2","1","196000"
"1800","8","7","3","1","312500"
"1164","7","6","3","1","140000"
"2576","8","10","4","1","361919"
"1812","5","8","4","2","140000"
"1484","7","7","3","1","213000"
"1092","4","7","3","2","55000"
"1824","7","5","2","1","302000"
"1324","8","6","2","1","254000"
"1456","7","8","3","1","179540"
"904","5","6","3","1","109900"
"729","3","5","2","1","52000"
"1178","4","7","2","1","102776"
"1228","8","5","2","1","189000"
"960","4","6","3","1","129000"
"1479","6","6","3","1","130500"
"1350","6","7","3","1","165000"
"2554","7","8","3","1","159500"
"1178","5","5","3","1","157000"
"2418","7","9","3","1","341000"
"971","5","5","3","1","128500"
"1742","8","5","2","1","275000"
"848","6","3","1","1","143000"
"864","4","5","3","1","124500"
"1470","4","7","4","1","135000"
"1698","9","8","3","1","320000"
"864","4","5","3","1","120500"
"1680","6","5","3","1","222000"
"1232","7","6","2","1","194500"
"1776","5","9","4","2","110000"
