"GrLivArea","OverallQual","TotRmsAbvGrd","BedroomAbvGr","KitchenAbvGr","SalePrice"
"1208","4","5","2","1","103000"
"1616","8","5","2","1","236500"
"1146","7","6","3","1","187500"
"2031","7","8","3","1","222500"
"1144","5","6","3","1","131400"
"948","5","6","3","1","108000"
"1768","7","6","2","1","163000"
"1040","3","6","2","2","93500"
"1801","8","8","3","1","239900"
"1200","5","5","3","1","179000"
"1728","7","7","3","1","190000"
"1432","5","7","2","1","132000"
"912","6","5","3","1","142000"
"1349","7","6","3","1","179000"
"1464","5","6","3","1","175000"
"1337","8","5","2","1","180000"
"2715","8","11","4","1","299800"
"2256","7","8","4","1","236000"
"2640","7","8","4","1","265979"
"1720","7","7","3","1","260400"
"1529","4","9","4","1","98000"
"1140","4","7","3","1","96500"
"1320","7","6","3","1","162000"
"1494","6","6","3","1","217000"
"2098","8","8","3","1","275500"
"1026","6","5","3","1","156000"
"1471","6","6","3","1","172500"
"1768","8","7","3","1","212000"
"1386","6","6","3","1","158900"
"1501","7","6","3","1","179400"
"2531","8","9","4","1","290000"
"864","6","5","2","1","127500"
"1301","5","5","2","1","100000"
"1547","7","7","3","1","215200"
"2365","8","8","3","1","337000"
"1494","8","6","2","1","270000"
"1506","9","6","2","1","264132"
"1714","7","7","3","1","196500"
"1750","6","7","4","1","160000"
"1836","7","8","3","1","216837"
"3279","8","12","4","1","538000"
"858","5","5","2","1","134900"
"1220","4","6","2","1","102000"
"1117","6","6","3","1","107000"
"912","5","5","2","1","114500"
"1973","8","9","3","1","395000"
"1204","6","5","2","1","162000"
"1614","7","7","3","1","221500"
"894","5","5","3","1","142500"
"2020","5","10","4","2","144000"
"1004","6","4","2","1","135000"
"1253","7","6","3","1","176000"
"1603","6","7","3","1","175900"
"1430","7","6","3","1","187100"
"1110","5","4","1","1","165500"
"1484","6","9","3","1","128000"
"1342","6","7","3","1","161500"
"1652","5","7","4","1","139000"
"2084","7","8","4","1","233000"
"901","4","4","2","1","107900"
"2087","6","9","5","1","187500"
"1145","7","5","2","1","160200"
"1062","6","5","3","1","146800"
"2013","7","8","3","1","269790"
"1496","8","7","3","1","225000"
"1895","7","7","3","1","194500"
"1564","6","7","3","1","171000"
"1285","6","7","3","1","143500"
"773","5","4","2","1","110000"
"3140","9","11","4","1","485000"
"1768","5","7","3","1","175000"
"1688","6","8","4","1","200000"
"1196","4","5","2","1","109900"
"1456","7","7","3","1","189000"
"2822","9","12","4","1","582933"
"1128","5","5","2","1","118000"
"1428","7","6","3","1","227680"
"980","5","6","3","1","135500"
"1576","5","6","3","1","223500"
"1086","5","6","3","1","159950"
"2138","5","11","2","3","106000"
"1309","6","5","3","1","181000"
"848","6","4","1","1","144500"
"1044","5","4","2","1","55993"
"1442","6","7","4","1","157900"
"1250","5","7","3","1","116000"
"1661","7","6","3","1","224900"
"1008","5","4","2","1","137000"
"1689","8","7","3","1","271000"
"1052","6","6","3","1","155000"
"1358","7","6","2","1","224000"
"1640","7","6","3","1","183000"
"936","4","4","2","1","93000"
"1733","7","7","3","1","225000"
"1489","6","7","3","1","139500"
"1489","8","7","3","1","232600"
"2084","10","7","2","1","385000"
"784","5","5","2","1","109500"
"1434","7","6","3","1","189000"
"2126","5","7","3","1","185000"
"1223","7","4","2","1","147400"
"1392","6","6","3","1","166000"
"1200","7","4","2","1","151000"
"1829","7","7","3","1","237000"
"1516","6","6","3","1","167000"
"1144","5","6","3","1","139950"
"1067","4","4","2","1","128000"
"1559","5","5","2","1","153500"
"987","6","5","2","1","100000"
"1099","5","6","3","1","144000"
"1200","5","6","3","1","130500"
"1482","6","7","4","1","140000"
"1539","5","8","3","1","157500"
"1165","6","6","3","1","174900"
"1800","5","10","6","2","141000"
"1416","5","7","4","1","153900"
"1701","5","6","3","1","171000"
"1775","7","7","3","1","213000"
"864","5","5","3","1","133500"
"2358","6","10","5","1","240000"
"1855","6","7","3","1","187000"
"848","6","3","1","1","131500"
"1456","8","7","2","1","215000"
"1646","7","7","4","1","164000"
"1445","6","7","3","1","158000"
"1779","5","6","3","1","170000"
"1040","5","6","3","1","127000"
"1026","6","5","3","1","147000"
"1481","6","6","3","1","174000"
"1370","7","6","3","1","152000"
"2654","6","9","4","1","250000"
"1426","7","7","3","1","189950"
"1039","5","6","3","1","131500"
"1097","6","6","3","1","152000"
"1148","5","6","3","1","132500"
"1372","7","6","3","1","250580"
"1002","5","5","3","1","148500"
"1646","8","6","3","1","248900"
"1120","4","5","3","1","129000"
"2320","5","7","2","1","169000"
"1949","7","8","3","1","236000"
"894","5","5","2","1","109500"
"1682","6","7","3","1","200500"
"910","5","5","3","1","116000"
"1268","5","6","3","1","133000"
"1131","5","5","3","1","66500"
"2610","8","11","4","1","303477"
"1040","4","5","3","1","132250"
"2224","9","10","4","1","350000"
"1155","5","6","3","1","148000"
"864","5","6","3","1","136500"
"1090","5","5","2","1","157000"
"1717","7","7","3","1","187500"
"1593","6","7","3","1","178000"
"2230","4","10","5","1","118500"
"892","5","5","3","1","100000"
"1709","9","5","2","1","328900"
"1712","5","8","4","2","145000"
"1393","5","8","3","1","135500"
"2217","8","8","4","1","268000"
"1505","6","6","2","1","149500"
"924","5","6","3","1","122900"
"1683","6","7","3","1","172500"
"1068","6","6","3","1","154500"
"1383","5","6","3","1","165000"
"1535","5","8","4","2","118858"
"1796","6","8","4","1","140000"
"951","4","6","2","1","106500"
"2240","5","12","6","2","142953"
"2364","9","11","2","1","611657"
"1236","5","6","3","1","135000"
"858","4","4","2","1","110000"
"1306","5","5","2","1","153000"
"1509","7","8","3","1","180000"
"1670","7","7","3","1","240000"
"902","5","6","3","1","125500"
"1063","5","6","3","1","128000"
"1636","8","8","3","1","255000"
"2057","7","6","3","1","250000"
"902","5","5","2","1","131000"
"1484","6","8","3","1","174000"
"2274","5","12","5","2","154300"
"1268","5","5","3","1","143500"
"1015","5","6","3","1","88000"
"2002","5","8","4","2","145000"
"1224","6","4","2","1","173733"
"1092","4","6","3","1","75000"
"480","2","4","1","1","35311"
"1229","4","6","3","1","135000"
"2127","7","8","4","1","238000"
"1414","6","6","3","1","176500"
"1721","6","7","3","1","201000"
"2200","5","9","4","2","145900"
"1316","6","6","3","1","169990"
"1617","6","5","2","1","193000"
"1686","6","7","3","1","207500"
"1126","5","6","3","1","175000"
"2374","8","10","4","1","285000"
"1978","7","9","4","1","176000"
"1788","8","7","3","1","236500"
"2236","7","8","4","1","222000"
"1466","8","7","3","1","201000"
"925","5","5","2","1","117500"
"1905","9","8","3","1","320000"
"1500","7","6","3","1","190000"
"2069","7","9","4","1","242000"
"747","4","5","1","1","79900"
"1200","7","5","2","1","184900"
"1971","7","8","3","1","253000"
"1962","7","7","3","1","239799"
"2403","7","10","4","1","244400"
"1728","6","8","4","2","150900"
"2060","7","8","3","1","214000"
"1440","4","8","4","2","150000"
"1632","5","8","4","2","143000"
"1344","6","7","3","1","137500"
"1869","5","7","2","1","124900"
"1144","5","6","3","1","143000"
"1629","8","9","3","1","270000"
"1776","7","7","3","1","192500"
"1381","6","5","3","1","197500"
"864","5","5","3","1","129000"
"965","5","6","3","1","119900"
"768","5","5","2","1","133900"
"1968","5","7","4","1","172000"
"980","6","4","4","0","127500"
"1958","6","8","4","2","145000"
"1229","6","5","2","1","124000"
"1057","5","6","3","1","132000"
"1337","7","6","3","1","185000"
"1416","7","6","3","1","155000"
"858","5","4","2","1","116500"
"2872","6","11","4","1","272000"
"1548","6","7","3","1","155000"
"1800","9","7","2","1","239000"
"1894","7","8","4","1","214900"
"1484","6","8","3","1","178900"
"1308","5","7","2","1","160000"
"1098","5","6","3","1","135000"
"968","3","6","2","1","37900"
"1095","6","6","2","1","140000"
"1192","4","6","4","1","135000"
"1626","7","6","2","1","173000"
"918","6","5","2","1","99500"
"1428","7","6","3","1","182000"
"2019","7","8","3","1","167500"
"1382","7","6","3","1","165000"
"869","4","4","2","1","85500"
"1241","7","4","1","1","199900"
"894","4","5","3","1","110000"
"1121","5","5","3","1","139000"
"999","7","6","3","1","178400"
"2612","8","8","4","1","336000"
"1266","7","6","2","1","159895"
"2290","8","9","4","1","255900"
"1734","5","8","4","2","126000"
"1164","5","5","3","1","125000"
"1635","6","5","2","1","117000"
"1940","9","8","3","1","395192"
"2030","6","8","4","1","195000"
"1576","7","6","3","1","197000"
"2392","8","7","3","1","348000"
"1742","8","8","4","1","168000"
"1851","6","7","3","1","187000"
"1500","6","6","3","1","173900"
"1718","10","7","3","1","337500"
"1230","4","5","3","1","121600"
"1050","5","6","3","1","136500"
"1442","6","6","2","1","185000"
"1077","3","6","3","1","91000"
"1208","7","6","2","1","206000"
"944","3","4","2","1","82000"
"691","5","4","2","1","86000"
"1574","8","7","3","1","232000"
"1680","5","8","4","2","136905"
"1504","7","7","1","1","181000"
"985","5","6","3","1","149900"
"1657","6","7","3","1","163500"
"1092","4","6","3","1","88000"
"1710","7","7","3","1","240000"
"1522","5","7","4","1","102000"
"1271","5","7","4","1","135000"
"1664","5","8","4","2","100000"
"1502","6","7","3","1","165000"
"1022","5","4","2","1","85000"
"1082","6","5","2","1","119200"
"1665","8","6","3","1","227000"
"1504","7","6","3","1","203000"
"1360","8","4","1","1","187500"
"1472","7","7","3","1","160000"
"1506","7","6","2","1","213490"
"1132","4","5","2","1","176000"
"1220","7","6","2","1","194000"
"1248","5","6","2","1","87000"
"1504","7","7","2","1","191000"
"2898","8","10","2","1","287000"
"882","5","5","3","1","112500"
"1264","5","6","3","1","167500"
"1646","8","7","3","1","293077"
"1376","5","6","3","1","105000"
"1218","6","7","3","1","118000"
"1928","5","10","5","2","160000"
"3082","7","12","5","1","197000"
"2520","8","10","5","1","310000"
"1654","7","6","3","1","230000"
"954","5","5","2","1","119750"
"845","4","5","3","1","84000"
"1620","9","6","2","1","315500"
"2263","8","7","3","1","287000"
"1344","4","6","3","1","97000"
"630","4","3","1","1","80000"
"1803","5","8","3","1","155000"
"1632","6","7","4","1","173000"
"1306","6","5","1","1","196000"
"2329","7","10","4","1","262280"
"2524","8","9","4","1","278000"
"1733","3","8","4","1","139600"
"2868","9","11","4","1","556581"
"990","5","5","3","1","145000"
"1771","5","9","3","1","115000"
"930","4","6","2","1","84900"
"1302","7","6","3","1","176485"
"1316","7","6","3","1","200141"
"1977","6","9","4","1","165000"
"1526","5","7","4","1","144500"
"1989","8","7","3","1","255000"
"1523","6","7","3","1","180000"
"1364","7","6","2","1","185850"
"1850","7","7","3","1","248000"
"2184","9","10","3","1","335000"
"1991","6","7","3","1","220000"
"1338","8","6","2","1","213500"
"894","3","6","2","1","81000"
"2337","5","10","5","2","90000"
"1103","6","5","2","1","110500"
"1154","5","6","3","1","154000"
"2260","7","7","3","1","328000"
"1571","6","7","3","1","178000"
"1611","6","7","4","1","167900"
"2521","6","10","5","1","151400"
"893","5","4","2","1","135000"
"1048","5","6","3","1","135000"
"1556","6","8","4","1","154000"
"1456","5","7","4","1","91500"
"1426","6","6","3","1","159500"
"1240","7","5","2","1","194000"
"1740","7","6","3","1","219500"
"1466","5","7","3","1","170000"
"1096","5","6","3","1","138800"
"848","6","3","1","1","155900"
"990","5","5","3","1","126000"
"1258","6","5","3","1","145000"
"1040","5","5","3","1","133000"
"1459","7","6","3","1","192000"
"1251","6","6","3","1","160000"
"1498","6","6","3","1","187500"
"996","6","5","2","1","147000"
"1092","4","6","3","1","83500"
"1953","8","9","3","1","252000"
"1709","7","7","3","1","137500"
"1247","8","4","1","1","197000"
"1040","3","6","2","2","92900"
"1252","7","4","2","1","160000"
"1694","6","7","4","1","136500"
"1200","5","6","1","1","146000"
"936","5","4","2","1","129000"
"1314","6","6","3","1","176432"
"1355","6","7","3","1","127000"
"1088","8","5","2","1","170000"
"1324","4","6","3","1","128000"
"1601","7","7","3","1","157000"
"438","2","3","1","1","60000"
"950","5","5","3","1","119500"
"1134","5","6","2","1","135000"
"1194","6","6","3","1","159500"
"1302","5","6","3","1","106000"
"2622","8","9","3","1","325000"
"1442","7","6","3","1","179900"
"2021","7","9","3","1","274725"
"1690","6","7","3","1","181000"
"1836","8","7","3","1","280000"
"1658","6","8","3","1","188000"
"1964","7","8","4","1","205000"
"816","5","5","2","1","129900"
"1008","5","6","2","1","134500"
"833","5","4","2","1","117000"
"1734","8","7","3","1","318000"
"1419","8","7","3","1","184100"
"894","5","5","3","1","130000"
"1601","5","6","3","1","140000"
"1040","5","6","3","1","133700"
"1012","6","6","2","1","118400"
"1552","7","7","3","1","212900"
"960","4","5","3","1","112000"
"698","5","4","2","1","118000"
"1482","7","7","3","1","163900"
"1005","4","5","2","1","115000"
"1555","7","7","2","1","174000"
"1530","7","7","3","1","259000"
"1959","7","8","4","1","215000"
"936","5","4","2","1","140000"
"1981","4","7","4","1","135000"
"974","5","5","3","1","93500"
"2210","6","8","5","1","117500"
"2020","8","8","3","1","239500"
"1600","6","7","3","1","169000"
"986","6","5","2","1","102000"
"1252","6","6","3","1","119000"
"1020","5","6","2","1","94000"
"1567","6","5","2","1","196000"
"1167","5","6","3","1","144000"
"952","5","4","2","1","139000"
"1868","5","9","4","1","197500"
"2828","8","11","4","1","424870"
"1006","5","5","3","1","80000"
"924","4","5","2","1","80000"
"1576","5","8","3","1","149000"
"1298","6","5","3","1","180000"
"1564","7","7","3","1","174500"
"1111","7","5","2","1","116900"
"1482","7","7","3","1","143000"
"932","6","4","2","1","124000"
"1466","5","6","3","1","149900"
"1811","6","6","2","1","230000"
"816","6","5","2","1","120500"
"1820","7","8","4","1","201800"
"1437","5","6","3","1","218000"
"1265","5","6","3","1","179900"
"1314","7","6","2","1","230000"
"1580","8","7","3","1","235128"
"1876","6","8","4","1","185000"
"1456","6","7","3","1","146000"
"1640","6","7","3","1","224000"
"894","5","5","3","1","129000"
"1258","4","6","0","2","108959"
"1432","5","5","2","1","194000"
"1502","7","7","3","1","233170"
"1694","8","7","3","1","245350"
"1671","6","7","3","1","173000"
"2108","6","7","4","1","235000"
"3627","10","10","4","1","625000"
"1118","6","6","3","1","171000"
"1261","6","6","3","1","163000"
"1250","7","5","2","1","171900"
"3086","5","12","3","1","200500"
"2345","6","9","4","1","239000"
"2872","8","9","4","1","285000"
"923","5","5","3","1","119500"
"1224","6","5","3","1","115000"
"1343","5","7","3","1","154900"
"1124","5","5","3","1","93000"
"2514","7","8","4","1","250000"
"1652","8","5","2","1","392500"
"4476","10","10","4","1","745000"
"1130","5","5","2","1","120000"
"1572","5","5","3","1","186700"
"1221","5","7","4","1","104900"
"1699","3","7","3","2","95000"
"1624","8","5","2","1","262000"
"1660","7","7","3","1","195000"
"1804","7","7","3","1","189000"
"1622","4","7","3","1","168000"
"1441","8","5","2","1","174000"
"1472","5","6","3","1","125000"
"1224","6","5","2","1","165000"
"1352","6","7","4","1","158000"
"1456","6","8","3","1","176000"
"1863","7","9","4","1","219210"
"1690","7","7","3","1","144000"
"1212","7","6","3","1","178000"
"1382","4","6","3","1","148000"
"864","4","5","3","1","116050"
"1779","7","6","3","1","197900"
"1348","5","5","3","1","117000"
"1630","7","6","3","1","213000"
"1074","5","6","3","1","153500"
"2196","7","7","3","1","271900"
"1056","4","5","2","1","107000"
"1700","6","7","3","1","200000"
"1283","5","6","3","1","140000"
"1660","8","8","3","1","290000"
"1845","6","8","3","1","189000"
"1752","8","8","4","1","164000"
"672","4","4","2","1","113000"
"960","4","3","0","1","145000"
"999","5","6","3","1","134500"
"894","5","5","3","1","125000"
"1902","6","8","4","2","112000"
"1314","8","6","3","1","229456"
"912","4","3","2","1","80500"
"1218","6","7","3","1","91500"
"912","5","5","2","1","115000"
"1211","5","5","3","1","134000"
"1846","6","7","3","1","143000"
"2136","5","7","4","1","137900"
"1490","7","8","3","1","184000"
"1138","6","6","3","1","145000"
"1933","6","9","4","1","214000"
"912","5","5","2","1","147000"
"1702","9","7","1","1","367294"
"1507","5","7","4","1","127000"
"2620","5","12","4","2","190000"
"1190","5","6","3","1","132500"
"1224","4","6","2","2","101800"
"1188","5","6","3","1","142000"
"1964","5","7","4","1","130000"
"1784","5","9","4","1","138887"
"1626","7","6","2","1","175500"
"1948","7","8","4","1","195000"
"1141","6","6","3","1","142500"
"1484","8","6","2","1","265900"
"1768","7","8","3","1","224900"
"1689","7","7","3","1","248328"
"1173","7","6","3","1","170000"
"2076","10","7","2","1","465000"
"1517","8","7","3","1","230000"
"1868","6","7","3","1","178000"
"1553","7","6","3","1","186500"
"1034","6","6","3","1","169900"
"2058","6","8","3","1","129500"
"988","5","6","3","1","119000"
"2110","7","8","3","1","244000"
"1405","7","6","2","1","171750"
"874","5","5","3","1","130000"
"2167","7","9","3","1","294000"
"1656","7","7","3","1","165400"
"1367","6","6","3","1","127500"
"1987","8","7","2","1","301500"
"864","5","4","2","1","99900"
"1166","7","5","2","1","190000"
"1054","6","6","3","1","151000"
"1675","6","7","3","1","181000"
"1050","5","5","2","1","128900"
"1788","4","8","5","1","161500"
"1824","6","8","3","1","180500"
"1337","6","5","2","1","181000"
"1452","7","6","3","1","183900"
"1889","7","9","4","2","122000"
"2018","9","10","3","1","378500"
"3447","8","11","4","1","381000"
"1524","5","7","3","1","144000"
"1524","7","4","0","1","260000"
"1489","6","7","3","1","185750"
"935","5","5","3","1","137000"
"1357","6","5","2","1","177000"
"1250","5","8","3","1","139000"
"1920","5","10","4","2","137000"
"1395","6","6","3","1","162000"
"1724","6","7","3","1","197900"
"2031","8","7","3","1","237000"
"1128","4","6","2","1","68400"
"1573","7","6","3","1","227000"
"1339","7","6","2","1","180000"
"1040","5","5","3","1","150500"
"1824","6","8","4","2","139000"
"2447","6","10","4","1","169000"
"1412","6","6","4","1","132500"
"1328","6","6","3","1","143000"
"1582","5","7","4","1","190000"
"1659","8","5","2","1","278000"
"1970","8","8","3","1","281000"
"1152","5","6","3","1","180500"
"1302","5","6","3","1","119500"
"2372","5","11","4","2","107500"
"1664","7","8","4","1","162900"
"864","5","5","2","1","115000"
"1052","5","5","3","1","138500"
"1128","5","6","3","1","155000"
"1072","6","5","2","1","140000"
"5642","10","12","3","1","160000"
"1246","5","6","3","1","154000"
"1983","7","9","3","1","225000"
"1494","6","7","3","1","177500"
"2526","8","8","4","1","290000"
"1616","7","7","3","1","232000"
"1708","7","7","3","1","130000"
"1652","9","6","2","1","325000"
"1368","7","6","2","1","202500"
"990","5","5","3","1","138000"
"1122","5","6","2","1","147000"
"1294","6","6","3","1","179200"
"1902","7","7","3","1","335000"
"1274","7","6","3","1","203000"
"2810","8","9","4","1","302000"
"2599","9","10","4","1","333168"
"948","4","5","3","1","119000"
"2112","6","9","4","1","206900"
"1630","8","8","3","1","295493"
"1352","7","5","2","1","208900"
"1787","8","7","3","1","275000"
"948","4","5","3","1","111000"
"1478","6","6","3","1","156500"
"720","3","4","2","1","72500"
"1923","7","8","3","1","190000"
"708","4","5","2","1","82500"
"1795","8","7","2","1","147000"
"796","4","5","2","1","55000"
"774","3","6","3","1","79000"
"816","5","5","3","1","130500"
"2792","6","8","5","1","256000"
"1632","7","8","3","1","176500"
"1588","8","7","3","1","227000"
"954","5","6","3","1","132500"
"816","4","3","2","1","100000"
"1360","5","6","2","1","125500"
"1365","5","7","3","1","125000"
"1334","6","6","2","1","167900"
"1656","5","8","4","2","135000"
"693","4","4","2","1","52500"
"1861","7","8","3","1","200000"
"864","5","5","3","1","128500"
"872","4","5","3","1","123000"
"1114","6","6","3","1","155000"
"2169","8","7","3","1","228500"
"1913","6","9","3","1","177000"
"1456","7","8","3","1","155835"
"960","4","5","2","1","108500"
"2156","7","9","3","1","262500"
"1776","8","7","3","1","283463"
"1494","7","5","3","1","215000"
"2358","8","8","4","1","122000"
"2634","5","12","6","2","200000"
"1716","6","8","4","1","171000"
"1176","6","4","2","1","134900"
"3238","8","9","4","1","410000"
"1865","7","7","3","1","235000"
"1920","7","8","4","1","170000"
"892","5","5","3","1","110000"
"1078","5","6","3","1","149900"
"1573","6","5","3","1","177500"
"1980","9","8","3","1","315000"
"2601","5","8","4","1","189000"
"1530","7","7","3","1","260000"
"1738","4","7","4","1","104900"
"1412","6","6","3","1","156932"
"1200","7","4","2","1","144152"
"1674","7","7","3","1","216000"
"1790","7","7","3","1","193000"
"1475","5","6","4","1","127000"
"848","6","4","1","1","144000"
"1668","8","8","3","1","232000"
"1374","4","6","2","1","105000"
"1661","6","8","3","1","165500"
"2097","7","8","3","1","274300"
"2633","10","8","2","1","466500"
"1958","7","9","3","1","250000"
"1571","8","7","3","1","239000"
"790","6","4","2","1","91000"
"1604","5","6","3","1","117000"
"987","6","5","2","1","83000"
"1394","5","7","3","1","167500"
"864","3","5","2","1","58500"
"2117","6","7","4","1","237500"
"1762","7","8","4","1","157000"
"1416","5","7","3","1","112000"
"1258","6","6","2","1","105000"
"1154","4","7","3","1","125500"
"2784","7","12","5","1","250000"
"2526","6","10","5","1","136000"
"1746","9","7","3","1","377500"
"1218","6","6","3","1","131000"
"1525","7","6","3","1","235000"
"1584","5","8","4","2","124000"
"900","5","6","3","1","123000"
"1912","6","7","3","2","163000"
"1500","7","6","2","1","246578"
"2482","8","9","4","1","281213"
"1687","5","7","3","1","160000"
"1513","5","8","4","1","137500"
"1904","5","7","3","1","138000"
"1608","6","7","3","1","137450"
"1158","6","5","3","1","120000"
"1593","6","8","3","1","193000"
"1294","7","6","2","1","193879"
"1464","8","6","3","1","282922"
"1214","3","6","3","1","105000"
"1646","8","5","2","1","275000"
"768","5","5","2","1","133000"
"833","5","5","3","1","112000"
"1363","4","6","3","1","125500"
"2093","7","7","3","1","215000"
"1840","7","6","3","1","230000"
"1668","6","6","3","1","140000"
"1040","4","6","2","2","90000"
"1844","8","7","2","1","257000"
"1848","6","8","4","1","207000"
"1569","7","7","1","1","175900"
"2290","4","11","4","2","122500"
"2450","8","7","3","1","340000"
"1144","5","6","3","1","124000"
"1844","6","7","3","1","223000"
"1416","6","7","3","1","179900"
"1069","6","4","2","1","127500"
"848","6","3","1","1","136500"
"2201","6","8","4","1","274970"
"1344","5","6","2","1","144000"
"1252","6","7","3","1","142000"
"2127","7","5","3","1","271000"
"1558","5","6","3","1","140000"
"804","5","4","2","1","119000"
"1440","6","7","3","1","182900"
"1838","5","7","4","1","192140"
"958","6","5","2","1","143750"
"968","4","5","4","1","64500"
"1792","6","8","3","1","186500"
"1126","5","5","3","1","160000"
"1537","6","7","3","1","174000"
"864","4","5","3","1","120500"
"1932","8","7","2","1","394617"
"1236","6","6","2","1","149700"
"1725","7","6","3","1","197000"
"2555","6","11","3","1","191000"
"848","6","3","1","1","149300"
"2007","10","10","3","1","310000"
"952","6","4","2","1","121000"
"1422","7","7","3","1","179600"
"913","6","6","3","1","129000"
"1188","5","6","3","1","157900"
"2090","8","8","3","1","240000"
"1346","4","6","2","1","112000"
"630","5","3","1","1","92000"
"1792","5","8","4","2","136000"
"1578","8","7","3","1","287090"
"1072","5","5","2","1","145000"
"1140","5","6","3","1","84500"
"1221","7","6","2","1","185000"
"1647","6","7","3","1","175000"
"2073","6","7","3","1","210000"
"2340","7","9","4","1","266500"
"1078","5","5","2","1","142125"
"1256","5","6","3","1","147500"
